"","site","site.name","uniqueid","subid","session","scan","MeanFD","PercentFD_greater_than_0.20","global"
"170",24,"NYU 2","NYU_org_0025005_session_1_rest_2","0025005",1,2,0.091,1.105,"All Sites"
"171",24,"NYU 2","NYU_org_0025005_session_2_rest_1","0025005",2,1,0.0788,0,"All Sites"
"172",24,"NYU 2","NYU_org_0025005_session_2_rest_2","0025005",2,2,0.1001,1.6575,"All Sites"
"173",24,"NYU 2","NYU_org_0025006_session_1_rest_1","0025006",1,1,0.1044,9.3923,"All Sites"
"174",24,"NYU 2","NYU_org_0025006_session_1_rest_2","0025006",1,2,0.1197,12.1547,"All Sites"
"175",24,"NYU 2","NYU_org_0025006_session_2_rest_1","0025006",2,1,0.1161,11.0497,"All Sites"
"176",24,"NYU 2","NYU_org_0025007_session_1_rest_1","0025007",1,1,0.0627,1.105,"All Sites"
"177",24,"NYU 2","NYU_org_0025007_session_1_rest_2","0025007",1,2,0.0572,2.2099,"All Sites"
"178",24,"NYU 2","NYU_org_0025007_session_2_rest_1","0025007",2,1,0.0512,1.105,"All Sites"
"179",24,"NYU 2","NYU_org_0025007_session_2_rest_2","0025007",2,2,0.0688,4.4199,"All Sites"
"180",24,"NYU 2","NYU_org_0025008_session_1_rest_1","0025008",1,1,0.1061,6.6298,"All Sites"
"181",24,"NYU 2","NYU_org_0025008_session_1_rest_2","0025008",1,2,0.6479,50.8287,"All Sites"
"182",24,"NYU 2","NYU_org_0025008_session_2_rest_1","0025008",2,1,0.089,10.4972,"All Sites"
"183",24,"NYU 2","NYU_org_0025008_session_2_rest_2","0025008",2,2,0.6904,60.7735,"All Sites"
"184",24,"NYU 2","NYU_org_0025009_session_1_rest_1","0025009",1,1,0.1568,20.442,"All Sites"
"185",24,"NYU 2","NYU_org_0025009_session_1_rest_2","0025009",1,2,0.2031,35.9116,"All Sites"
"186",24,"NYU 2","NYU_org_0025009_session_2_rest_1","0025009",2,1,0.179,28.7293,"All Sites"
"187",24,"NYU 2","NYU_org_0025009_session_2_rest_2","0025009",2,2,0.2307,33.7017,"All Sites"
"188",24,"NYU 2","NYU_org_0025010_session_1_rest_1","0025010",1,1,0.5614,40.884,"All Sites"
"189",24,"NYU 2","NYU_org_0025010_session_1_rest_2","0025010",1,2,0.2547,28.7293,"All Sites"
"190",24,"NYU 2","NYU_org_0025010_session_2_rest_1","0025010",2,1,0.3433,34.2541,"All Sites"
"191",24,"NYU 2","NYU_org_0025010_session_2_rest_2","0025010",2,2,0.306,39.779,"All Sites"
"192",24,"NYU 2","NYU_org_0025011_session_1_rest_1","0025011",1,1,0.128,12.7072,"All Sites"
"193",24,"NYU 2","NYU_org_0025011_session_1_rest_2","0025011",1,2,0.1818,31.4917,"All Sites"
"194",24,"NYU 2","NYU_org_0025011_session_2_rest_1","0025011",2,1,0.1094,2.7624,"All Sites"
"195",24,"NYU 2","NYU_org_0025011_session_2_rest_2","0025011",2,2,0.12,9.9448,"All Sites"
"196",24,"NYU 2","NYU_org_0025012_session_1_rest_1","0025012",1,1,0.0648,2.2099,"All Sites"
"197",24,"NYU 2","NYU_org_0025012_session_1_rest_2","0025012",1,2,0.2298,12.7072,"All Sites"
